"GeneSymbol","log2FC_db_dw","pvalue","alias","Entrez","log2FC_hallock","pval_hallock","fdr_hallock"
"SORBS2",1.1322527,1.91e-21,"Argbp2","114901",0.218717131446764,0.360902582328443,0.649446696900742
"DOK5",1.6272763,3e-21,"RGD1562846","502694",0.763091375771548,3.82338049373375e-05,0.00315459724446694
"HSPH1",1.0666467,4.02e-21,"Hsp105","288444",0.747969960451828,0.00112068797942637,0.0287002721339453
"ATG16L1",1.066054,5.7e-21,"Apg16l|Wdr30","363278",0.0374770955477357,0.732830486271805,0.884764182748001
"DLGAP2",2.4980152,6.56e-21,"DAP-2|SAPAP2","116681",-0.0104064064650944,0.96080357814149,0.985852015590547
"DCLK3",-2.5603716,7.79e-21,"Dcamkl3|RGD1309232","316023",-0.608535583789578,0.00154642253266059,0.0350825524884703
"RUNX2",2.8620102,2.15e-20,"Cbfa1|OSF-2","367218",-0.377636839973796,0.0126304415230906,0.119373715679206
"HMGA1",1.9424802,2.52e-20,"Hmgi|Hmgiy","117062",0.472439893265907,0.0542820036990902,0.26022276241176
"ZC2HC1A",-1.018401,2.6e-20,"Fam164a|RGD1311970","310244",0.0930366317438211,0.460637906085845,0.724876784921061
"CAV1",1.5572658,2.61e-20,"Cav","25404",-0.00320752401092129,0.983455054375491,0.994339141254193
"EFR3A",1.0692867,2.68e-20,"RGD1305976","362923",0.267184693987421,0.0074922157794594,0.088057819017984
"RGS20",1.2998077,3.26e-20,"","362477",-0.0841444476677852,0.63216203463567,0.830773392205938
"PTH2R",2.567532,4.37e-20,"Pthr2","81753",0.344150314233502,0.299713483925625,0.594891580957042
"KCNV1",1.3596368,4.89e-20,"Kv8.1","60326",0.559552885439717,0.0243802922270119,0.170726193913996
"GPR83",2.9704585,8.92e-20,"Gir","140595",0.172468503565099,0.300242589292243,0.595364266120542
"ERRFI1",1.1447444,9.01e-20,"RGD1307599|Ralt|Xxx|gene","313729",2.28151586257309,0.0001631046710196,0.00857955727095899
